0.000000000000000000e+00,6.527281060834951021e-02,6.518562206739575426e-02
1.000000000000000000e+00,-5.883560949129050012e-03,-5.294782419463421944e-03
2.000000000000000000e+00,1.328522432181722217e-02,1.341349173849626202e-02
3.000000000000000000e+00,9.643621140557185889e-01,9.691879406012755549e-01
4.000000000000000000e+00,-4.406789471231477165e-04,-5.766446561747602152e-04
5.000000000000000000e+00,6.824298408262684246e-02,6.852654779907224603e-02
6.000000000000000000e+00,-5.857432233826502521e-03,-5.193547473500872806e-03
7.000000000000000000e+00,5.322813799392014933e-02,5.262989519536718369e-02
8.000000000000000000e+00,6.620572528813277458e-02,6.512170916741287507e-02
9.000000000000000000e+00,1.180822901860114627e-01,1.186671158224315709e-01
1.000000000000000000e+01,1.833663384141427932e-01,1.871508121341539654e-01
1.100000000000000000e+01,4.865260475685020264e-02,4.862247013347456570e-02
1.200000000000000000e+01,5.922890913949568903e-03,6.681180555534078913e-03
1.300000000000000000e+01,6.662496584393832189e-01,6.640045556182986308e-01
1.400000000000000000e+01,4.860915259471732018e-04,6.446286577644027953e-04
1.500000000000000000e+01,5.907410421266581085e-02,5.937764705529300496e-02
1.600000000000000000e+01,1.068549585149526499e-01,1.069028116818852986e-01
1.700000000000000000e+01,9.362150910095300427e-01,9.409697958859700728e-01
1.800000000000000000e+01,7.072550321662911255e-02,7.096767883707214009e-02
1.900000000000000000e+01,6.648646463072074853e-02,6.646264895560898001e-02
2.000000000000000000e+01,5.923745007537226104e-02,5.967098336698363481e-02
2.100000000000000000e+01,5.164721564976362117e-02,5.115288270040949797e-02
2.200000000000000000e+01,5.495845841065304799e-02,5.313281326394932169e-02
2.300000000000000000e+01,9.801883338908549126e-01,9.816265182285700552e-01
2.400000000000000000e+01,1.453150762716386157e-01,1.486547769009526343e-01
2.500000000000000000e+01,5.786638607527759548e-02,5.772159339032587738e-02
2.600000000000000000e+01,1.407021357512802107e-01,1.437284784619717315e-01
2.700000000000000000e+01,2.999881589892377520e-01,2.997312163551051345e-01
2.800000000000000000e+01,6.226424907018586474e-02,6.209960475241058098e-02
2.900000000000000000e+01,-5.761599075320633472e-03,-5.576912804717976124e-03
